러시아에서 가스공급이 줄어들면서 독일의 내년 가스비 청구액이 최소 3배로 뛸 것이라고 독일의 가스네트워크 등을 관리하는 연방네트워크청장이 내다봤다 .	O O O O O O O O O O O O O O O O O O
독일경영자총연합회장은 독일이 지금까지 겪어보지 못한 사상 최대 위기에 직면해있다고 진단했다 .	O O O O O O O O O O O
클라우스 뮐러 연방네트워크청장은 14일(현지시간) 독일 RND와 인터뷰에서 천연가스를 사용하는 고객들은 내년에 가스비 청구액이 최소 3배로 뛰는 상황에 적응해야 할 것이라고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O
지금 난방비 정산을 하는 이들은 우크라이나 전쟁으로 인한 영향이 아직 반영되지 않았는데도 가스비 청구액이 2배로 오른 상황이라고 그는 설명했다 .	O O O O O O O O O O O O O O O O O O O O
뮐러 청장은 가스공급이 부족해질 경우에도 개별 가계는 끝까지 보호 대상이라고 강조했다 .	O O O O O O O O O O O O
그는 "최악의 시나리오가 전개된다고 해도 독일은 노르웨이나 벨기에, 네덜란드 액화천연가스(LNG) 터미널에서 가스공급을 계속 받을 것"이라며 "개별 가계에 가스공급이 안 되는 상황이 발생할 가능성은 거의 없다"고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
러시아 국영기업 가스프롬은 11일부터 열흘간 유지보수작업을 이유로 발트해 해저를 거쳐 독일로 연결되는 '노르트스트림-1' 가스관을 통한 가스공급을 중단했다. 가스프롬이 열흘 후인 21일 가스공급을 재개할지는 미지수다. 가스프롬은 전날 노르트스트림-1 가스관의 가동재개를 보장할 수 없다는 입장을 밝힌 바 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
가스프롬은 지난달 16일 터빈이 반환되지 않아 정상적 가스관 가동이 어렵다며 노르트스트림-1을 통한 독일로 가스공급량을 기존 공급량보다 60% 가까이 줄였다 .	O O O O O O O O O O O O O O O O O O O O
라이너 둘거 독일경영자총연합회(BDA) 회장은 이날 독일 쥐트도이체차이퉁(SZ)과 인터뷰에서 "러시아가 가스공급을 크게 줄이거나 장기적으로는 아예 공급을 중단할 것으로 보인다"면서 "독일은 지금까지 겪어보지 못한 사상 최대 위기에 직면했다"고 말했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
그는 러시아에서 가스공급이 중단되면 독일 경제가 심각한 문제에 직면할 것이라며, 이는 산업부문뿐만 아니라 모두에게 영향을 미칠 것으로 전망했다 .	O O O O O O O O O O O O O O O O O O O
그는 "독일은 수년간 누려온 복지를 일단은 잃게 될 것"이라고 내다봤다 .	O O O O O O O O O O O
